show_num,round_code,contestant,score,num_right,num_ddright,num_wrong,num_ddwrong,finish
8257,DJ,Natt,-400,5,0,3,0,Third
8257,FJ,Kevin,18800,19,1,3,0,Winner
8257,FJ,Alex!,0,16,1,9,1,Second
8257,FJ,Natt,-400,5,0,3,0,Third
8256,J,Kevin,7000,27,1,3,0,Winner
8256,J,Michael,946,16,0,3,2,Second
8256,J,Barbara,200,7,0,4,0,Third
8256,DJ,Kevin,22600,27,1,3,0,Winner
8256,DJ,Michael,4746,16,0,3,2,Second
8256,DJ,Barbara,3000,7,0,4,0,Third
8256,FJ,Kevin,20000,27,1,3,0,Winner
8256,FJ,Michael,3035,16,0,3,2,Second
8256,FJ,Barbara,1500,7,0,4,0,Third
8255,J,Kevin,11400,28,1,0,0,Winner
8255,J,Brian,2600,9,0,2,1,Third
8255,J,Sabreena,3400,14,0,2,1,Second
8255,DJ,Kevin,23800,28,1,0,0,Winner
8255,DJ,Brian,5200,9,0,2,1,Third
8255,DJ,Sabreena,6600,14,0,2,1,Second
8255,FJ,Kevin,27600,28,1,0,0,Winner
8255,FJ,Brian,0,9,0,2,1,Third
8255,FJ,Sabreena,5201,14,0,2,1,Second
8254,J,Garrett,7000,15,1,4,1,Third
8254,J,Kevin,4400,20,1,2,0,Winner
8254,J,Amy,2400,13,0,3,0,Second
8254,DJ,Garrett,7000,15,1,4,1,Third
8254,DJ,Kevin,15600,20,1,2,0,Winner
8254,DJ,Amy,7600,13,0,3,0,Second
8254,FJ,Garrett,8000,15,1,4,1,Third
8254,FJ,Kevin,15300,20,1,2,0,Winner
8254,FJ,Amy,15200,13,0,3,0,Second
8253,J,Garrett,9100,28,2,1,0,Winner
8253,J,Sheldon,0,7,0,3,1,Third
8253,J,Holly,1600,6,0,1,0,Second
8253,DJ,Garrett,23500,28,2,1,0,Winner
8253,DJ,Sheldon,1600,7,0,3,1,Third
8253,DJ,Holly,5200,6,0,1,0,Second
